t,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7
0.080,97.995,97.932,181.206,97.870,97.359,98.012,97.468,97.727,97.664,97.639,97.586,19.867,97.487,96.862
0.085,97.979,97.407,181.235,97.127,97.323,97.201,97.534,97.549,97.758,97.563,97.789,19.867,97.666,97.094
0.090,97.228,97.194,181.157,97.717,97.810,97.551,97.637,97.944,97.310,97.336,97.726,19.867,97.165,97.558
0.095,97.582,97.499,181.208,97.361,97.668,97.750,97.293,97.380,97.478,98.161,97.381,19.867,97.434,97.767
0.100,99.443,99.562,181.184,99.771,99.549,98.833,99.344,98.919,99.071,99.532,99.367,87.498,99.218,99.457
0.105,99.050,99.720,181.186,99.401,99.192,99.608,98.960,99.917,98.984,99.983,99.141,87.498,99.312,99.327
0.110,99.589,99.047,181.272,99.471,98.546,99.768,99.369,99.439,99.496,99.323,99.579,87.498,99.581,99.466
0.115,99.532,99.200,181.132,99.505,98.986,99.542,99.295,99.395,99.537,99.645,99.128,87.498,99.817,98.874
0.120,100.943,100.668,181.109,100.948,101.591,101.597,101.088,101.189,101.064,101.251,100.920,168.168,101.932,101.443
0.125,101.240,100.965,181.135,100.376,101.510,101.525,101.488,101.252,100.862,100.968,101.610,168.168,101.268,100.784
0.130,101.482,101.595,181.171,101.016,101.182,100.996,101.396,101.261,101.132,100.863,101.234,168.168,101.399,100.927
0.135,101.163,101.897,181.100,101.242,100.639,101.294,101.286,100.856,101.040,101.307,100.907,168.168,100.928,101.390
0.140,102.840,103.338,181.206,103.550,103.046,102.958,103.514,103.435,103.346,102.749,103.176,345.699,103.202,103.030
0.145,103.559,103.077,181.237,103.093,103.027,103.344,103.165,103.461,102.933,103.823,103.080,345.699,103.130,103.411
0.150,102.761,103.040,181.119,103.303,102.724,0.000,103.110,103.151,102.952,103.557,102.886,345.699,103.468,102.910
0.155,103.165,103.710,181.210,103.084,102.934,0.000,103.208,102.920,103.462,103.492,102.184,345.699,103.163,103.456
0.160,105.238,105.323,181.119,104.967,105.182,104.660,104.682,104.703,104.381,104.244,104.888,228.178,105.347,104.836
0.165,105.138,105.024,181.297,105.152,104.918,0.000,104.740,104.935,104.566,104.569,104.981,228.178,104.656,105.020
0.170,104.337,104.801,181.166,104.868,104.826,104.780,104.694,104.675,105.140,104.673,105.316,228.178,105.041,104.887
0.175,104.799,104.731,181.157,105.239,104.854,105.062,104.972,104.948,105.518,104.907,104.990,228.178,104.848,105.015
0.180,106.677,106.779,181.326,107.342,107.006,107.191,106.968,107.164,106.629,106.381,106.184,263.570,106.607,107.285
0.185,106.655,107.324,181.174,107.158,106.225,106.811,106.553,106.472,106.830,107.444,107.089,263.570,106.950,106.702
0.190,106.911,106.712,181.214,106.508,106.518,106.879,106.581,106.279,106.529,106.848,106.618,263.570,106.440,106.215
0.195,106.887,106.676,181.202,107.039,106.443,106.319,106.641,107.037,106.972,106.375,106.619,263.570,107.034,106.523
0.200,108.565,108.664,181.230,108.810,108.048,108.705,108.520,108.415,108.952,108.034,108.811,116.657,108.410,108.359
0.205,108.607,108.502,181.217,108.903,108.839,108.827,108.824,108.915,108.162,108.308,108.480,116.657,109.132,108.188
0.210,108.835,108.864,181.292,108.518,109.235,108.688,108.377,109.166,108.774,108.544,108.112,116.657,108.266,108.289
0.215,108.908,108.272,181.140,108.946,108.509,108.581,108.051,109.447,108.656,108.133,108.353,116.657,108.224,108.904
0.220,109.735,110.387,181.276,110.461,110.318,110.593,110.187,110.419,110.041,110.412,110.082,345.380,110.734,110.782
0.225,110.978,110.148,181.232,110.246,110.725,110.458,110.223,109.840,109.989,110.448,110.161,345.380,110.182,110.317
0.230,110.146,110.609,181.228,110.663,110.137,110.774,110.219,110.623,110.576,110.015,110.633,345.380,110.048,109.922
0.235,110.553,110.399,181.133,110.303,110.266,109.990,110.402,110.349,110.016,109.983,109.705,345.380,110.435,110.312
0.240,111.583,111.887,181.192,111.679,111.789,112.089,111.700,111.987,112.439,111.876,112.079,253.770,111.385,111.948
0.245,111.922,111.949,181.266,112.138,112.067,112.309,112.555,112.345,112.469,112.171,112.398,253.770,111.562,112.118
0.250,111.697,112.091,181.181,111.719,112.952,112.106,112.152,111.724,111.999,112.200,112.357,253.770,112.053,111.577
0.255,112.411,112.541,181.187,111.911,112.212,112.024,112.697,112.388,112.559,112.218,112.332,253.770,111.751,112.358
0.260,114.093,114.006,181.218,113.895,113.853,113.797,113.699,114.146,113.778,114.380,113.963,66.589,114.005,114.122
0.265,113.825,113.928,181.142,113.221,113.818,113.725,113.969,113.681,113.770,113.680,114.106,66.589,113.843,113.839
0.270,113.771,113.537,181.234,113.648,113.709,113.979,113.684,113.484,113.884,114.038,113.768,66.589,114.547,113.569
0.275,113.941,113.377,181.332,113.722,114.273,114.058,113.924,114.069,114.051,113.610,113.944,66.589,113.762,113.969
0.280,115.255,115.081,181.200,115.268,115.597,116.548,116.201,115.684,115.736,115.519,115.867,220.741,115.694,115.146
0.285,115.357,115.360,181.215,115.267,115.670,115.508,115.922,115.323,115.447,115.264,115.819,220.741,115.194,115.243
0.290,115.309,115.662,181.229,115.066,115.617,115.795,115.777,115.252,115.211,115.738,115.851,220.741,115.052,115.529
0.295,115.791,115.555,181.176,115.308,115.733,115.070,115.592,116.192,115.464,115.643,115.545,220.741,115.122,115.802
0.300,117.242,117.574,181.155,116.988,117.313,0.000,117.101,117.147,117.302,117.064,117.446,96.384,117.141,117.472
0.305,116.846,116.903,181.152,117.390,116.789,116.942,117.328,116.880,117.518,116.783,116.823,96.384,117.361,117.383
0.310,117.340,117.169,181.181,117.213,117.383,117.131,116.922,117.272,117.366,117.634,116.752,96.384,116.765,117.545
0.315,117.395,117.154,181.194,117.589,117.175,117.438,117.140,116.785,116.611,117.182,117.468,96.384,117.060,116.809
0.320,119.323,118.599,181.186,119.143,119.064,0.000,118.708,118.796,118.786,118.790,119.442,312.964,118.918,119.191
0.325,118.731,118.242,181.133,119.036,118.761,118.811,118.915,119.164,118.728,118.946,118.808,312.964,118.820,119.117
0.330,119.024,118.650,181.243,119.128,118.546,119.053,118.958,119.256,118.737,118.686,119.262,312.964,119.239,118.686
0.335,119.535,119.172,181.244,118.753,118.931,118.921,118.287,119.125,119.013,118.806,118.821,312.964,118.503,118.794
0.340,120.439,120.007,181.159,121.084,120.401,120.650,120.853,120.487,120.517,120.365,120.393,206.491,120.758,120.723
0.345,120.427,120.788,181.172,120.857,120.374,120.443,119.905,120.975,120.569,120.686,120.548,206.491,120.461,120.754
0.350,120.693,120.796,181.172,120.518,120.848,120.513,120.632,120.669,120.060,120.525,121.029,206.491,120.910,120.624
0.355,120.385,120.485,181.204,120.524,120.658,120.744,120.285,120.743,120.749,120.745,121.250,206.491,120.799,120.369
0.360,122.145,122.223,181.127,122.132,121.798,122.095,121.880,121.679,122.581,122.154,122.020,211.775,122.486,122.285
0.365,121.991,122.099,181.255,121.859,122.354,122.569,121.853,122.097,122.372,121.946,122.293,211.775,122.091,122.111
0.370,121.906,122.142,181.161,122.433,122.077,121.903,121.749,121.959,122.202,121.798,121.896,211.775,121.669,121.919
0.375,122.412,122.572,181.055,121.865,122.418,122.052,121.795,122.430,122.153,122.011,122.140,211.775,122.156,121.811
0.380,123.605,124.060,181.189,123.889,123.926,124.446,123.499,123.685,124.351,123.704,122.916,346.267,123.898,123.390
0.385,123.413,124.015,181.177,123.833,124.028,123.850,123.714,123.672,123.403,123.311,123.681,346.267,123.869,123.726
0.390,123.632,123.795,181.215,123.680,123.565,123.857,123.574,124.146,123.783,123.331,124.067,346.267,124.265,123.450
0.395,123.676,123.681,181.212,123.898,123.663,123.701,124.004,124.061,123.628,123.535,123.733,346.267,123.386,123.946
0.400,125.352,125.337,181.126,125.502,125.265,124.786,125.657,125.013,125.937,124.431,125.019,216.380,125.542,125.044
0.405,125.545,124.874,181.173,124.905,124.599,125.003,125.225,125.480,125.028,125.065,125.231,216.380,125.503,125.532
0.410,125.799,124.996,181.333,124.675,124.947,125.660,124.786,125.259,125.549,124.807,125.104,216.380,125.185,125.575
0.415,124.887,125.281,181.156,125.134,124.366,124.894,125.459,125.030,125.241,125.148,125.957,216.380,125.554,125.285
0.420,126.692,126.229,181.158,126.986,126.841,126.722,126.412,126.997,126.216,127.036,126.611,41.190,126.829,126.826
0.425,126.212,126.765,181.157,126.885,126.630,127.095,126.949,126.777,126.883,126.713,127.107,41.190,126.913,126.562
0.430,126.833,126.723,181.315,126.910,126.924,126.929,127.258,126.558,127.349,127.169,126.411,41.190,126.662,126.425
0.435,126.924,126.708,181.206,126.894,126.627,126.969,126.461,126.921,126.187,126.813,126.883,41.190,126.880,127.085
0.440,128.036,128.192,181.252,128.702,127.735,127.799,128.319,128.033,128.181,127.984,127.970,95.323,128.672,128.428
0.445,127.956,128.031,181.180,127.970,128.560,128.098,128.397,127.865,128.422,127.940,128.564,95.323,128.464,128.086
0.450,127.932,128.855,181.203,128.212,127.825,128.765,128.075,127.521,128.708,128.084,128.528,95.323,127.964,128.660
0.455,127.777,127.649,181.226,128.995,128.568,127.788,128.325,128.684,127.978,128.459,127.802,95.323,128.598,127.890
0.460,129.857,129.440,181.166,129.253,129.283,129.555,129.557,129.175,129.800,129.961,130.243,289.617,130.377,129.913
0.465,130.245,129.123,181.131,129.247,129.654,129.712,129.796,129.727,129.533,129.544,129.660,289.617,129.385,129.478
0.470,129.318,129.756,181.233,129.489,129.966,129.224,129.919,129.770,129.936,129.653,129.957,289.617,129.782,129.740
0.475,130.160,129.927,181.168,129.687,129.849,129.286,129.344,129.792,129.862,130.136,129.376,289.617,129.663,129.110
0.480,131.022,131.588,181.246,131.180,130.936,130.760,131.031,130.710,131.170,131.311,131.285,206.504,130.975,131.235
0.485,130.633,130.829,181.242,131.036,131.255,0.000,131.227,131.296,131.271,131.005,131.029,206.504,131.133,131.467
0.490,131.226,131.246,181.200,131.309,130.973,131.274,131.303,131.026,131.136,131.183,130.848,206.504,131.172,130.840
0.495,131.285,130.776,181.230,131.546,130.771,130.297,131.400,130.857,130.913,130.500,130.799,206.504,130.999,130.990
0.500,132.527,132.377,181.261,132.449,132.477,131.992,132.679,132.871,131.900,132.683,132.283,333.347,132.806,133.096
0.505,132.328,132.595,181.214,132.076,132.312,131.869,132.179,131.765,132.534,132.702,132.654,333.347,132.551,132.379
0.510,132.914,131.953,181.181,132.329,131.716,0.000,132.267,132.377,132.320,132.869,131.970,333.347,132.616,132.344
0.515,132.320,132.345,181.201,132.386,132.573,132.196,132.637,132.494,132.278,132.320,132.666,333.347,132.805,132.422
0.520,133.910,133.518,181.280,133.880,133.815,133.612,133.628,133.288,132.863,133.827,134.092,336.946,133.947,133.702
0.525,133.914,133.820,181.238,133.454,133.506,133.717,133.650,134.058,133.647,133.618,133.456,336.946,133.815,133.303
0.530,133.444,133.952,181.224,134.137,133.890,133.552,133.863,133.105,133.193,133.289,133.387,336.946,134.368,133.500
0.535,133.153,133.266,181.201,133.816,133.824,133.860,133.557,133.451,133.741,133.843,133.713,336.946,133.709,134.021
0.540,134.458,134.941,181.216,135.432,135.418,135.153,134.878,134.804,134.423,134.554,134.940,310.376,135.083,135.158
0.545,134.863,134.560,181.169,134.848,134.669,134.935,134.805,135.122,135.093,135.164,135.051,310.376,135.885,135.205
0.550,135.091,134.283,181.173,134.852,134.739,135.303,134.857,135.285,134.884,134.985,134.992,310.376,135.712,135.562
0.555,134.441,134.643,181.212,135.838,135.093,135.521,134.891,134.940,134.921,135.159,135.143,310.376,134.909,135.088
0.560,135.987,136.001,181.166,135.621,136.503,135.991,136.101,136.663,136.629,136.128,136.036,333.041,136.379,136.355
0.565,136.672,135.834,181.203,136.132,136.095,135.932,136.406,136.081,136.314,136.361,136.347,333.041,136.129,136.052
0.570,135.659,135.863,181.253,136.165,136.385,136.041,136.099,136.393,136.152,135.710,136.276,333.041,136.165,136.295
0.575,136.345,136.587,181.268,136.043,136.268,135.972,136.382,135.904,136.405,136.321,136.251,333.041,136.198,136.623
0.580,137.490,137.412,181.261,137.087,137.451,0.000,137.354,137.824,137.358,137.284,137.192,55.299,137.900,137.207
0.585,137.622,137.705,181.175,137.710,137.584,136.867,137.230,137.362,137.566,137.180,136.970,55.299,137.452,137.394
0.590,136.935,137.811,181.110,137.281,136.876,137.239,137.436,137.549,136.401,136.677,138.078,55.299,136.839,137.076
0.595,137.484,137.434,181.248,137.217,137.069,137.448,137.362,137.313,137.735,137.493,137.483,55.299,137.610,137.787
0.600,138.090,139.293,181.189,138.618,138.700,138.100,138.323,138.460,138.067,138.249,138.293,147.846,138.306,138.679
0.605,138.919,138.656,181.204,138.469,138.739,138.661,138.558,138.514,138.252,138.733,138.247,147.846,137.793,138.535
0.610,138.250,138.565,181.209,138.189,139.285,138.371,139.001,138.365,138.832,138.745,138.594,147.846,138.265,138.783
0.615,138.628,138.280,181.234,138.112,138.550,139.140,137.922,138.669,139.020,138.757,138.661,147.846,138.795,138.222
0.620,139.353,139.506,181.197,139.646,139.971,139.296,140.134,139.741,139.367,139.334,139.538,150.017,139.469,139.580
0.625,139.638,139.720,181.152,139.868,139.719,139.693,139.794,140.120,139.467,139.840,140.404,150.017,139.419,139.732
0.630,139.129,139.638,181.164,139.636,140.075,139.313,140.037,139.420,139.233,139.880,139.933,150.017,139.098,139.839
0.635,139.682,139.684,181.174,139.813,139.749,139.446,139.235,139.474,139.110,139.920,139.709,150.017,139.916,139.941
0.640,140.814,140.751,181.222,140.850,140.269,140.782,140.230,140.691,140.833,140.995,140.343,255.090,140.971,140.522
0.645,140.627,140.236,181.264,140.381,140.515,140.529,140.331,140.625,140.687,140.309,140.730,255.090,140.587,140.447
0.650,141.121,140.406,181.223,140.916,140.685,140.623,140.948,140.462,140.788,140.486,140.360,255.090,140.496,140.388
0.655,140.742,140.524,181.218,140.727,140.807,140.042,140.353,140.862,140.485,141.131,140.152,255.090,140.729,140.573
0.660,141.854,141.466,181.196,142.312,141.229,0.000,142.035,141.604,141.566,142.158,141.551,237.517,141.211,141.645
0.665,141.769,141.224,181.173,141.836,141.973,141.974,141.489,141.283,141.657,141.611,141.494,237.517,141.814,141.072
0.670,142.186,141.599,181.118,141.437,141.778,141.400,141.235,141.278,141.547,142.339,141.535,237.517,141.104,141.528
0.675,141.415,141.360,181.155,141.663,141.666,141.588,142.022,142.085,141.638,142.269,142.095,237.517,141.166,141.716
0.680,142.467,142.857,181.195,141.947,142.016,142.494,142.460,142.646,142.441,142.989,142.215,346.698,142.506,142.475
0.685,142.483,142.314,181.143,142.403,142.462,142.923,142.746,142.413,142.378,143.356,142.188,346.698,142.129,142.645
0.690,142.738,142.627,181.213,142.691,142.212,142.996,142.723,142.714,142.388,141.933,142.799,346.698,142.949,142.698
0.695,142.630,141.956,181.173,142.715,143.041,142.611,142.805,142.568,142.780,142.587,142.407,346.698,142.662,142.386
0.700,143.687,143.387,181.223,143.707,143.455,143.999,143.651,143.347,143.746,143.832,143.916,314.958,143.939,143.831
0.705,143.523,143.735,181.156,143.335,143.708,143.459,143.714,143.988,143.429,143.355,143.118,314.958,143.674,143.132
0.710,143.276,143.449,181.190,143.192,143.814,143.861,143.065,143.633,143.308,143.276,143.578,314.958,143.735,143.633
0.715,143.415,143.631,181.293,143.269,143.140,143.434,143.439,143.031,143.482,143.682,143.516,314.958,143.579,143.221
0.720,144.396,144.327,181.137,143.956,144.137,144.110,144.118,143.859,144.620,144.207,144.394,311.906,144.042,144.719
0.725,143.567,144.172,181.304,144.757,143.959,0.000,144.290,144.104,144.567,144.851,143.959,311.906,144.564,144.165
0.730,144.688,144.413,181.128,143.971,144.816,143.928,144.150,144.013,143.842,144.633,143.902,311.906,144.624,144.216
0.735,144.092,144.388,181.195,143.909,144.133,143.407,144.014,144.212,143.983,144.523,144.250,311.906,144.254,144.525
0.740,144.933,145.157,181.143,145.631,144.771,145.294,144.764,145.373,144.952,145.479,145.955,158.625,145.170,145.421
0.745,145.121,144.863,181.199,144.940,145.184,144.814,144.749,145.129,145.468,145.309,145.167,158.625,145.453,145.017
0.750,144.966,144.892,181.243,145.247,145.201,145.114,145.428,144.397,145.059,144.638,145.513,158.625,144.987,145.233
0.755,144.600,144.211,181.241,145.167,145.162,145.194,144.892,144.582,144.871,145.487,144.854,158.625,145.162,144.479
0.760,145.695,145.787,181.144,145.606,145.771,145.517,146.507,145.528,145.930,145.556,145.431,350.726,145.697,145.379
0.765,146.189,145.440,181.141,145.802,145.938,145.485,146.055,145.796,145.946,146.193,145.696,350.726,146.178,146.053
0.770,146.086,145.530,181.187,146.172,146.000,145.907,145.496,145.996,146.003,145.678,145.907,350.726,145.665,145.738
0.775,146.144,146.003,181.144,145.654,146.199,145.781,146.006,145.744,145.540,145.833,145.811,350.726,145.986,145.639
0.780,146.266,146.479,181.248,145.862,145.837,146.532,146.505,146.531,145.978,147.011,146.285,46.612,146.529,146.439
0.785,146.369,146.539,181.265,145.748,146.084,145.933,146.256,146.420,146.810,146.008,146.389,46.612,146.862,146.549
0.790,146.757,146.205,181.100,146.078,146.545,146.418,145.881,146.190,146.838,146.608,146.593,46.612,146.161,146.609
0.795,146.890,146.566,181.177,146.363,146.218,146.374,145.901,146.978,146.739,146.959,146.205,46.612,146.092,146.002
0.800,147.058,147.040,181.150,147.289,147.107,147.034,147.479,147.415,147.030,146.787,147.037,33.895,147.065,147.223
0.805,146.753,147.092,181.212,147.364,146.673,146.338,147.167,146.774,147.381,146.665,147.064,33.895,147.068,147.717
0.810,146.459,146.999,181.192,147.430,147.194,147.105,147.232,146.782,147.276,147.425,147.020,33.895,147.113,147.632
0.815,147.484,147.527,181.254,147.400,147.281,146.780,147.264,147.182,147.305,147.116,146.641,33.895,147.483,146.611
0.820,147.140,147.252,181.210,148.142,147.321,147.762,147.778,147.597,148.124,147.483,147.636,326.898,147.833,147.719
0.825,147.738,147.661,181.288,147.571,147.809,148.108,147.249,147.165,146.933,147.624,147.435,326.898,147.714,147.420
0.830,147.880,147.675,181.212,147.678,147.942,147.547,147.700,147.556,147.347,147.366,147.373,326.898,147.664,147.765
0.835,148.606,147.873,181.205,146.900,147.899,147.578,147.480,148.320,148.202,148.399,147.502,326.898,147.622,148.058
0.840,148.165,148.245,181.093,148.104,148.188,148.052,147.786,147.884,148.562,148.023,147.920,325.587,148.220,148.084
0.845,148.072,147.948,181.183,148.587,148.290,147.858,148.563,148.109,148.258,148.531,148.107,325.587,148.157,147.945
0.850,148.249,148.140,181.233,148.040,148.278,148.297,148.241,147.548,148.084,148.224,147.791,325.587,147.792,147.966
0.855,148.266,148.550,181.121,148.330,147.989,148.611,147.787,147.923,148.076,148.258,148.202,325.587,147.646,148.077
0.860,148.962,148.857,181.104,148.520,148.563,148.288,148.418,149.084,148.730,148.643,148.361,137.628,148.370,148.732
0.865,148.762,148.418,181.147,148.647,148.727,148.638,148.809,149.024,148.695,148.221,148.693,137.628,148.181,148.509
0.870,148.316,148.594,181.240,148.359,148.931,148.385,148.458,148.341,148.983,148.925,148.946,137.628,148.580,148.195
0.875,147.902,148.501,181.172,148.664,148.274,148.331,148.823,148.396,148.294,148.945,148.487,137.628,148.562,148.294
0.880,149.025,149.319,181.227,148.660,148.393,148.557,148.912,149.042,149.169,149.273,148.818,310.973,148.448,149.185
0.885,148.726,148.796,181.215,149.021,149.110,148.498,149.399,148.852,149.044,148.829,148.211,310.973,148.457,148.758
0.890,149.369,149.318,181.184,148.684,149.334,149.039,149.292,149.616,148.748,149.260,149.139,310.973,149.045,149.173
0.895,148.530,149.419,181.196,148.755,148.358,149.053,148.973,149.092,148.849,148.979,148.933,310.973,148.900,149.070
0.900,149.321,149.212,181.266,149.557,149.144,149.498,148.897,149.388,149.383,149.634,149.205,343.963,149.385,149.184
0.905,149.034,149.926,181.244,148.985,149.530,0.000,149.969,149.220,148.891,149.649,149.419,343.963,149.032,149.340
0.910,148.989,149.184,181.315,149.423,149.759,148.855,149.000,148.981,149.263,149.513,149.316,343.963,149.308,149.003
0.915,149.775,149.195,181.154,149.507,149.134,149.305,149.231,149.316,149.278,149.537,149.100,343.963,149.700,149.328
0.920,149.578,149.743,181.173,149.252,149.984,0.000,149.473,149.637,149.562,149.812,149.528,249.264,149.735,149.440
0.925,149.470,149.367,181.281,149.211,149.755,149.331,149.865,149.231,149.368,149.795,150.055,249.264,149.838,149.237
0.930,149.755,149.551,181.217,149.249,149.860,149.279,149.777,149.575,149.570,149.279,149.879,249.264,149.212,149.756
0.935,149.284,149.169,181.103,149.751,149.124,149.225,149.731,150.027,149.307,149.034,149.303,249.264,149.707,149.746
0.940,149.620,149.607,181.253,149.678,148.880,149.573,149.475,149.513,149.543,150.058,149.668,218.770,150.170,149.377
0.945,149.536,149.754,181.249,149.812,149.658,149.603,149.111,150.091,149.751,149.705,149.798,218.770,149.628,149.917
0.950,150.346,149.324,181.139,150.236,149.420,150.370,149.641,149.516,149.510,149.711,149.457,218.770,149.978,149.798
0.955,149.836,149.941,181.072,149.598,150.025,149.859,149.553,149.592,149.952,149.677,149.650,218.770,150.004,149.957
0.960,150.076,150.100,181.227,150.208,149.735,149.807,149.719,150.013,149.973,149.497,150.114,155.712,149.747,149.660
0.965,150.227,149.844,181.249,149.860,150.031,149.466,150.241,149.651,150.122,149.809,150.811,155.712,150.251,149.807
0.970,149.824,150.073,181.176,149.801,149.576,149.553,150.077,150.250,150.044,150.027,150.284,155.712,149.511,149.578
0.975,149.833,150.075,181.201,149.487,150.228,150.105,150.135,150.066,149.793,149.630,149.987,155.712,149.299,149.624
0.980,149.463,149.727,181.185,149.715,149.982,149.634,150.044,149.630,149.979,149.806,149.937,314.360,149.646,150.366
0.985,150.118,150.128,181.125,150.687,149.662,149.923,150.171,150.056,149.897,149.959,149.945,314.360,150.134,149.945
0.990,150.050,150.029,181.224,150.042,150.412,150.087,149.464,149.615,149.456,149.525,150.177,314.360,149.621,149.656
0.995,149.842,149.768,181.202,149.722,150.282,149.496,149.937,150.746,150.204,150.092,150.394,314.360,148.990,149.909
1.000,150.373,150.108,181.152,150.392,149.856,150.219,150.131,149.865,150.166,149.919,149.654,7.185,150.506,149.901
1.005,149.445,149.675,181.227,150.200,149.918,149.649,149.840,149.838,150.662,150.450,150.008,7.185,149.401,149.864
1.010,150.129,149.149,181.230,150.243,150.217,149.650,150.389,150.089,149.254,149.522,150.160,7.185,149.971,150.050
1.015,149.572,150.127,181.189,150.258,150.646,149.425,149.532,150.016,149.581,150.249,150.261,7.185,149.832,150.424
1.020,149.615,150.038,181.304,149.414,149.988,150.100,150.144,149.930,150.014,150.105,149.998,335.413,150.060,149.674
1.025,149.904,150.508,181.166,149.454,150.038,149.588,149.716,149.469,149.576,149.992,150.411,335.413,150.034,150.294
1.030,150.383,149.874,181.145,149.880,149.700,149.896,150.370,150.096,150.014,149.683,150.121,335.413,150.230,149.790
1.035,149.600,150.234,181.203,150.046,149.858,149.414,150.055,150.143,149.665,149.954,149.345,335.413,150.172,150.118
1.040,149.570,149.619,181.213,149.876,150.033,149.925,150.084,149.213,150.008,149.705,149.866,326.278,149.897,149.732
1.045,149.504,149.544,181.109,150.128,149.739,149.743,149.358,149.917,149.665,149.917,149.920,326.278,150.187,149.875
1.050,150.505,149.790,181.226,149.506,149.990,149.748,150.154,149.941,149.759,149.877,149.699,326.278,149.616,150.083
1.055,150.043,149.952,181.160,150.196,149.854,150.418,149.639,149.945,150.065,149.941,149.788,326.278,149.638,150.661
1.060,149.858,149.731,181.171,149.078,149.775,149.742,149.372,149.551,150.251,150.215,149.570,253.075,149.889,149.774
1.065,150.374,150.075,181.125,149.763,149.494,149.409,149.014,150.286,149.941,149.715,149.792,253.075,149.475,149.467
1.070,149.810,150.098,181.123,149.894,149.489,149.779,149.131,150.101,150.315,149.050,149.773,253.075,149.256,149.534
1.075,149.079,149.369,181.231,149.904,150.092,150.303,149.876,149.730,149.624,149.784,149.986,253.075,150.038,149.275
1.080,149.368,149.390,181.277,149.721,149.560,149.204,149.932,149.977,149.595,149.805,149.806,320.469,149.986,149.387
1.085,149.153,150.089,181.143,149.558,149.390,149.504,149.410,149.329,149.210,149.515,149.594,320.469,149.160,149.504
1.090,150.155,149.957,181.226,149.534,149.821,149.493,148.921,149.457,149.610,149.655,149.005,320.469,149.334,149.610
1.095,149.085,149.206,181.227,149.124,149.757,149.221,149.625,149.690,149.927,149.303,149.599,320.469,149.580,149.621
1.100,149.354,149.067,181.176,149.278,149.204,149.015,149.174,148.816,149.424,149.585,149.166,350.931,149.585,149.213
1.105,149.099,149.890,181.227,149.183,149.419,149.517,149.776,149.589,148.978,149.359,148.891,350.931,149.481,149.121
1.110,149.122,149.012,181.174,149.343,149.360,149.126,149.042,148.887,149.247,148.861,149.201,350.931,148.920,149.667
1.115,149.266,149.673,181.280,149.052,148.988,149.074,149.159,149.030,149.249,149.670,149.127,350.931,149.034,149.269
1.120,148.894,148.380,181.176,148.504,148.857,149.394,149.122,149.398,149.259,148.701,148.929,315.142,148.693,148.950
1.125,148.722,148.918,181.170,149.324,149.107,149.174,149.233,148.620,149.545,148.925,148.734,315.142,149.173,149.259
1.130,148.550,148.674,181.199,148.365,148.662,148.974,149.531,149.422,148.824,148.444,148.914,315.142,149.319,149.009
1.135,148.732,149.085,181.173,148.826,148.715,148.370,149.216,148.994,148.672,149.067,148.874,315.142,148.831,148.764
1.140,148.228,148.984,181.262,148.968,148.423,148.570,148.748,148.456,148.805,148.787,148.456,101.677,148.677,148.489
1.145,148.270,148.743,181.211,148.985,148.754,0.000,148.532,148.839,148.796,148.552,147.934,101.677,148.689,148.465
