t,x,y,z
1.04167,-0.002927,0.000217,0.999810
1.05556,-0.001570,0.000797,0.999307
1.06944,-0.002651,-0.000400,0.999778
1.08333,0.000160,-0.001847,1.000924
1.09722,0.001103,-0.001719,0.999012
1.11111,-0.000121,-0.000849,1.002616
1.12500,0.000313,-0.001516,0.998818
1.13889,-0.000086,0.003444,0.999733
1.15278,0.000191,0.000771,0.999940
1.16667,0.003421,-0.000797,1.001116
1.18056,0.000241,0.000932,0.998235
1.19444,0.002652,-0.000182,1.000051
1.20833,-0.001402,-0.001095,1.000846
1.22222,0.001480,0.001130,1.001813
1.23611,0.001072,0.000043,1.001255
1.25000,0.000890,-0.000151,1.001089
1.26389,0.001929,0.000352,0.999466
1.27778,0.001078,0.002851,0.999684
1.29167,-0.000138,-0.000205,1.001835
1.30556,-0.002756,0.000549,1.001788
1.31944,-0.001220,0.002233,1.000803
1.33333,-0.000824,0.000306,0.997698
1.34722,-0.000848,0.002740,0.998659
1.36111,0.002767,-0.000122,1.001492
1.37500,0.000066,-0.003362,0.999141
1.38889,0.000285,-0.001726,0.997979
1.40278,0.000549,-0.000974,0.997456
1.41667,-0.001026,0.001291,0.999289
1.43056,0.001402,0.002291,1.000049
1.44444,-0.001695,-0.001952,0.999961
1.45833,0.001322,0.000404,1.000821
1.47222,-0.000665,0.000451,0.999293
1.48611,-0.000488,-0.001938,0.997642
1.50000,-0.000723,-0.001661,0.998562
1.51389,0.001007,-0.000161,1.004371
1.52778,0.001390,-0.000950,1.001167
1.54167,0.000535,-0.001029,1.001654
1.55556,-0.001163,-0.004588,1.001191
1.56944,-0.000926,0.002229,0.999025
1.58333,-0.001772,0.002323,0.998387
1.59722,0.000305,0.002175,1.000172
1.61111,-0.000121,0.000154,1.001259
1.62500,-0.001210,0.000916,1.000866
1.63889,0.003499,-0.000505,0.998628
1.65278,0.001104,-0.000596,1.000434
1.66667,0.000199,0.001753,0.999015
1.68056,-0.000138,-0.003828,0.998665
1.69444,0.002305,-0.001022,0.998948
1.70833,-0.001827,0.000870,1.000267
1.72222,-0.001780,0.001001,1.000390
1.73611,0.001131,-0.000962,1.002607
1.75000,0.000615,-0.000175,0.999222
1.76389,-0.000367,0.001288,0.999597
1.77778,0.001617,0.000871,1.002020
1.79167,0.001221,-0.000094,0.997136
1.80556,0.000448,0.001184,1.000244
1.81944,0.000835,-0.000707,0.999429
1.83333,-0.001414,0.002043,1.000238
1.84722,-0.000739,-0.001998,0.999770
1.86111,0.002164,0.000693,0.998913
1.87500,0.002144,0.002143,1.001471
1.88889,0.001183,0.001733,1.000815
1.90278,0.001163,-0.001170,1.002249
1.91667,0.000347,0.003036,0.996937
1.93056,0.001058,0.001472,0.999486
1.94444,0.000679,0.001122,1.000866
1.95833,-0.000809,-0.000213,1.001529
1.97222,0.001916,0.000148,1.000116
1.98611,0.000301,0.001556,0.998419
2.00000,-0.001994,0.000186,0.998340
2.01389,-0.000881,0.000129,1.000724
2.02778,-0.001608,0.001202,0.997339
2.04167,0.000818,-0.002367,0.998088
2.05556,0.000963,-0.000610,0.998807
2.06944,-0.000667,0.000698,0.999919
2.08333,-0.000044,0.001582,0.998925
2.09722,-0.000708,-0.000784,1.001753
2.11111,0.001487,0.001931,0.999949
2.12500,-0.000235,0.001279,0.999408
2.13889,0.001246,0.001086,0.998953
2.15278,-0.000125,-0.000179,1.002600
2.16667,0.003882,-0.000150,1.000021
2.18056,-0.003422,0.000317,0.999989
2.19444,-0.001609,0.001178,0.997651
2.20833,-0.000322,0.000208,0.998127
2.22222,0.001285,0.001583,0.997920
2.23611,-0.002112,0.000903,0.999954
2.25000,-0.001817,-0.000443,0.999839
2.26389,-0.000215,0.001241,1.000576
2.27778,0.002654,0.002062,1.001018
2.29167,0.001616,0.001986,1.001059
2.30556,-0.001839,0.001289,1.000108
2.31944,0.002428,0.000140,1.000789
2.33333,0.000494,0.002522,1.000266
2.34722,-0.000404,0.000464,0.999341
2.36111,0.000243,-0.000011,1.000407
2.37500,0.002885,-0.000609,1.000055
2.38889,-0.000299,0.001009,0.998228
2.40278,-0.001039,-0.000059,1.000819
2.41667,-0.000069,-0.000750,0.998700
2.43056,0.000768,0.002163,1.000484
2.44444,0.000282,0.000666,0.998586
2.45833,-0.000468,-0.000402,1.000443
2.47222,-0.000048,-0.001825,1.001688
2.48611,0.002539,-0.000395,1.000598
2.50000,0.000401,0.001177,0.997780
2.51389,0.002420,-0.000702,1.001896
2.52778,0.000121,-0.000584,0.999789
2.54167,0.001346,-0.001295,0.999437
2.55556,-0.000723,-0.002573,1.001951
2.56944,0.000868,-0.000032,1.001745
2.58333,-0.001435,-0.000110,1.002588
2.59722,0.001469,-0.003338,0.995002
2.61111,-0.001557,0.001592,0.999291
2.62500,-0.000327,0.000912,0.998672
2.63889,0.000319,0.001188,1.000701
2.65278,0.000594,-0.000903,1.000771
2.66667,-0.000641,0.001957,1.003855
2.68056,-0.001110,-0.003262,0.999362
2.69444,0.000565,0.001575,1.001619
2.70833,-0.001176,-0.001190,1.001901
2.72222,-0.001639,0.001635,0.999660
2.73611,0.001150,0.001059,1.001165
2.75000,0.001231,-0.001484,1.000446
2.76389,0.000021,0.000463,1.001850
2.77778,-0.000407,-0.001068,0.998908
2.79167,-0.000466,0.001129,0.998778
2.80556,0.001739,0.000436,0.999661
2.81944,-0.001997,0.000367,1.001037
2.83333,-0.002649,0.001788,1.002472
2.84722,0.000508,0.000738,1.003621
2.86111,0.001848,-0.001347,0.999975
2.87500,-0.000235,-0.000226,0.996454
2.88889,0.001136,-0.000955,1.000245
2.90278,-0.000204,0.001307,0.999556
2.91667,-0.001193,0.000799,1.002107
2.93056,-0.000480,0.002055,1.000393
2.94444,-0.000799,0.002288,0.998772
2.95833,0.001521,-0.000747,1.000675
2.97222,-0.001851,-0.001256,1.001598
2.98611,0.000282,0.000057,0.999340
3.00000,0.000670,-0.002096,0.998320
3.01389,-0.000237,-0.001251,0.998949
3.02778,-0.000107,-0.000206,0.999666
3.04167,0.002498,0.001517,1.001845
3.05556,-0.000042,-0.000757,0.997819
3.06944,-0.000522,-0.003129,0.999124
3.08333,0.001146,0.002432,1.001448
3.09722,-0.001292,0.000739,0.998816
3.11111,0.001234,-0.000167,1.001287
3.12500,0.003859,0.001384,1.003499
3.13889,0.000266,-0.000495,1.002001
3.15278,0.002587,-0.000833,1.000115
3.16667,-0.002152,-0.000300,1.001332
3.18056,-0.000130,-0.000854,0.997889
3.19444,0.000552,0.001196,1.000895
3.20833,0.000383,-0.001911,1.002643
3.22222,-0.000085,-0.000217,1.001099
3.23611,-0.003245,-0.000097,0.999795
3.25000,0.000558,0.002021,1.000708
3.26389,-0.002748,-0.000509,1.000308
3.27778,0.000221,-0.001922,0.997504
3.29167,0.000824,0.000515,0.999968
3.30556,-0.002588,0.002661,0.995650
3.31944,-0.000546,0.003137,0.999764
3.33333,0.000348,-0.001769,1.002038
3.34722,-0.001939,0.000382,1.000202
3.36111,-0.001576,0.001330,0.997876
3.37500,-0.001025,-0.000043,0.999381
3.38889,0.000702,0.001386,0.999559
3.40278,-0.000812,-0.000775,0.999452
3.41667,0.001214,-0.000326,1.000611
3.43056,-0.000137,-0.001267,1.001296
3.44444,-0.001557,0.000009,1.002231
3.45833,-0.001640,-0.000083,0.997623
3.47222,-0.000764,-0.002242,0.999458
3.48611,-0.000807,0.000198,1.002376
3.50000,0.000424,0.000987,0.999924
3.51389,-0.000367,-0.001251,0.997299
3.52778,0.000103,0.002444,1.000714
3.54167,-0.000801,0.002474,0.999351
3.55556,-0.000928,-0.001819,0.998557
3.56944,-0.000370,0.002999,0.999691
3.58333,-0.001547,-0.000908,0.999666
3.59722,-0.002568,0.000190,1.001051
3.61111,0.000481,0.000901,0.998066
3.62500,-0.002548,0.001928,1.001641
3.63889,-0.002310,0.000310,1.000038
3.65278,0.000817,0.000313,0.999247
3.66667,0.000293,0.000236,0.999927
3.68056,-0.002779,-0.004493,0.998815
3.69444,-0.002452,0.000379,1.001074
3.70833,0.000395,-0.000554,1.000106
3.72222,0.001751,-0.001093,1.001383
3.73611,0.001061,0.000393,1.002178
3.75000,-0.001077,0.001414,0.998607
3.76389,-0.001151,-0.001590,1.000669
3.77778,-0.001410,0.000078,0.998295
3.79167,0.001599,0.002754,1.000339
3.80556,0.002465,0.000841,1.003254
3.81944,0.000150,-0.002356,1.002236
3.83333,-0.000190,-0.001554,0.999016
3.84722,-0.002439,-0.000252,0.998393
3.86111,0.002226,0.000997,0.997509
3.87500,-0.002264,-0.000850,0.997112
3.88889,-0.000165,-0.000065,0.998841
3.90278,-0.000820,0.000748,1.002133
3.91667,0.002244,0.000051,1.001284
3.93056,-0.001108,0.000618,0.998560
3.94444,0.001094,-0.001858,0.998552
3.95833,-0.000013,0.000835,0.997843
3.97222,-0.000805,0.000203,1.000344
3.98611,-0.001258,0.000145,0.999599
4.00000,0.002106,0.000835,0.998014
4.01389,-0.002511,0.000150,1.001773
4.02778,0.003376,0.001323,0.999273
4.04167,0.004853,0.001123,1.000148
4.05556,0.013092,-0.002072,1.000272
4.06944,0.017605,0.001210,0.999129
4.08333,0.025345,-0.000879,1.001896
4.09722,0.035173,-0.001140,0.998466
4.11111,0.043523,0.002194,0.997278
4.12500,0.054786,0.000957,1.001768
4.13889,0.067749,0.001178,1.001139
4.15278,0.082224,0.000070,1.002482
4.16667,0.094631,0.002322,0.998376
4.18056,0.110025,-0.001853,0.997787
4.19444,0.124289,-0.001200,1.000715
4.20833,0.137424,0.002461,1.000068
4.22222,0.153315,0.000323,1.001386
4.23611,0.170256,0.000843,1.003140
4.25000,0.189452,0.000059,0.999221
4.26389,0.206023,-0.002197,0.995520
4.27778,0.221353,-0.001543,1.002700
4.29167,0.239880,-0.001393,0.998342
4.30556,0.257781,-0.001157,0.999217
4.31944,0.274226,0.000226,1.000241
4.33333,0.291764,0.002052,1.002653
4.34722,0.306163,0.003969,1.000299
4.36111,0.327305,-0.001002,1.000596
4.37500,0.342228,0.000279,1.001389
4.38889,0.358918,-0.001397,0.999935
4.40278,0.374651,0.001143,0.999609
4.41667,0.388173,-0.000118,0.998456
4.43056,0.401074,0.002467,0.999520
4.44444,0.416859,-0.001009,1.002059
4.45833,0.432282,-0.000217,1.000885
4.47222,0.440609,0.002761,1.001502
4.48611,0.451648,0.001985,1.000653
4.50000,0.463696,0.000648,0.999109
4.51389,0.471364,0.001044,1.000035
4.52778,0.478697,0.003155,0.999793
4.54167,0.486008,-0.000941,1.001141
4.55556,0.493743,0.000473,1.001408
4.56944,0.494097,-0.000455,0.999396
4.58333,0.498973,0.000833,0.997040
4.59722,0.504755,-0.001204,1.000613
4.61111,0.501336,0.001370,1.000452
4.62500,0.495723,-0.001544,1.001223
4.63889,0.498699,-0.001505,0.996543
4.65278,0.501900,0.000835,0.998727
4.66667,0.499864,-0.000092,0.998381
4.68056,0.499641,0.000431,1.000876
4.69444,0.501943,0.000086,0.999346
4.70833,0.500642,-0.000908,0.998157
4.72222,0.501749,-0.000539,1.000213
4.73611,0.501005,-0.001631,1.000992
4.75000,0.500705,-0.000118,1.000621
4.76389,0.498894,-0.003280,0.999603
4.77778,0.498661,0.001331,1.000424
4.79167,0.499233,0.000098,1.002057
4.80556,0.501730,0.000580,1.000673
4.81944,0.499609,-0.000169,1.000910
4.83333,0.499847,0.000474,0.998352
4.84722,0.497522,-0.002524,0.999368
4.86111,0.502016,0.001799,0.998528
4.87500,0.497689,0.001213,1.000718
4.88889,0.497970,0.001610,1.000285
4.90278,0.502009,0.000537,1.001359
4.91667,0.500505,-0.001406,0.999673
4.93056,0.499005,0.001268,0.998527
4.94444,0.497721,0.001045,1.001741
4.95833,0.502190,0.001660,0.997758
4.97222,0.498974,-0.000803,0.999985
4.98611,0.496787,0.000004,1.000433
5.00000,0.498591,0.000194,1.001805
5.01389,0.500086,0.001603,1.001538
5.02778,0.500632,0.000592,0.999459
5.04167,0.501879,-0.000690,0.998971
5.05556,0.501076,-0.001072,1.000656
5.06944,0.501603,0.000139,1.000176
5.08333,0.501396,0.001149,0.997709
5.09722,0.498054,0.002017,1.000606
5.11111,0.496899,-0.002001,1.000060
5.12500,0.498553,0.000728,1.000143
5.13889,0.500762,-0.001726,1.000959
5.15278,0.502967,-0.001164,1.002001
5.16667,0.501503,0.000997,0.999933
5.18056,0.498289,-0.001284,1.001179
5.19444,0.501502,0.001868,1.001475
5.20833,0.501390,-0.000617,0.998223
5.22222,0.500342,0.000786,1.000165
5.23611,0.497755,-0.000744,0.997820
5.25000,0.500255,-0.001539,0.999786
5.26389,0.500521,0.000243,1.002090
5.27778,0.498380,-0.003237,1.001456
5.29167,0.502143,0.002188,1.000468
5.30556,0.500850,0.000226,0.998100
5.31944,0.499186,0.000789,0.999178
5.33333,0.502906,-0.002266,0.999394
5.34722,0.501711,-0.000866,0.998347
5.36111,0.498007,-0.001044,1.002311
5.37500,0.500660,0.000822,0.999268
5.38889,0.501314,0.000208,0.998667
5.40278,0.499370,0.000353,1.001805
5.41667,0.499962,0.000800,1.003079
5.43056,0.498852,-0.001811,1.001525
5.44444,0.500708,-0.000096,1.000447
5.45833,0.499557,0.000826,0.999548
5.47222,0.501252,-0.001704,0.998828
5.48611,0.500227,-0.000652,1.001097
5.50000,0.499990,-0.000760,1.000369
5.51389,0.499263,-0.002281,0.998352
5.52778,0.498854,-0.000648,1.000204
5.54167,0.501425,0.000887,1.002731
5.55556,0.501974,-0.000220,1.002540
5.56944,0.501836,-0.000615,1.000533
5.58333,0.501708,0.000430,1.001592
5.59722,0.500661,0.001124,0.999592
5.61111,0.500638,-0.000476,1.001084
5.62500,0.497537,0.000573,1.001946
5.63889,0.500941,0.000032,1.000879
5.65278,0.498802,-0.001176,0.999532
5.66667,0.499849,0.001520,0.998730
5.68056,0.501572,-0.002289,0.998890
5.69444,0.500015,0.001807,0.999150
5.70833,0.496855,0.000700,1.000026
5.72222,0.498447,-0.001496,0.999026
5.73611,0.500217,0.001065,0.997852
5.75000,0.503503,0.000012,0.999510
5.76389,0.501078,0.000232,1.003573
5.77778,0.501712,-0.000485,0.999482
5.79167,0.499320,-0.000445,1.001076
5.80556,0.499098,0.002486,0.999943
5.81944,0.499847,0.001489,0.997097
5.83333,0.498661,0.000963,1.000082
5.84722,0.500046,0.000660,0.999162
5.86111,0.499808,-0.001978,0.997250
5.87500,0.501960,-0.001337,0.998988
5.88889,0.502157,0.001651,0.999271
5.90278,0.499264,-0.000063,0.998627
5.91667,0.500882,0.000277,1.000253
5.93056,0.501189,0.001137,1.002822
5.94444,0.502333,-0.002507,1.001405
5.95833,0.498380,-0.002084,1.001125
5.97222,0.499004,-0.000416,1.001663
5.98611,0.499063,-0.001285,1.000548
6.00000,0.501892,0.000851,0.997727
6.01389,0.499081,-0.000171,1.002953
6.02778,0.501398,0.001335,1.001862
6.04167,0.499594,0.000777,1.000793
6.05556,0.498592,0.000033,1.000904
6.06944,0.498438,0.001270,1.001196
6.08333,0.501608,-0.001105,1.000219
6.09722,0.502237,0.001247,0.998875
6.11111,0.500395,0.002188,0.999942
6.12500,0.500628,0.003909,1.000001
6.13889,0.499894,-0.001454,0.999066
6.15278,0.502282,-0.000156,0.998272
6.16667,0.498653,0.000059,1.001197
6.18056,0.498932,0.001117,0.999313
6.19444,0.500577,0.000821,1.000951
6.20833,0.499390,-0.000218,1.000793
6.22222,0.498090,0.000287,1.000796
6.23611,0.501589,-0.000035,0.999742
6.25000,0.500229,-0.001085,0.999699
6.26389,0.500624,0.000431,0.998441
6.27778,0.499516,-0.003168,1.001203
6.29167,0.499201,0.000356,0.998347
6.30556,0.499866,0.000660,1.001461
6.31944,0.497945,0.001249,0.999736
6.33333,0.498819,0.000695,0.999538
6.34722,0.499533,-0.001078,1.000310
6.36111,0.500030,-0.000287,0.998540
6.37500,0.499205,0.000575,1.001889
6.38889,0.499931,0.002090,0.999954
6.40278,0.498335,0.000917,0.998522
6.41667,0.500573,0.001575,0.999508
6.43056,0.499838,0.003669,1.000329
6.44444,0.500367,0.001142,0.999824
6.45833,0.499839,0.000543,0.996387
6.47222,0.502093,-0.001627,0.998357
6.48611,0.500780,0.000013,0.998100
6.50000,0.500291,-0.001735,0.998930
6.51389,0.497722,-0.001265,1.000569
6.52778,0.500158,0.000437,1.001354
6.54167,0.499909,-0.001015,0.999554
6.55556,0.502441,0.000023,1.000451
6.56944,0.499829,0.000340,1.000619
6.58333,0.499959,-0.000259,0.998803
6.59722,0.498706,0.000582,1.001093
6.61111,0.501068,0.000053,0.998738
6.62500,0.499482,0.000894,0.997723
6.63889,0.497745,0.000845,1.002467
6.65278,0.492045,-0.001943,1.001150
6.66667,0.487449,-0.001119,0.998341
6.68056,0.484272,-0.002877,0.999621
6.69444,0.482175,0.000638,1.000644
6.70833,0.474421,0.002143,1.000770
6.72222,0.470107,-0.002336,1.000499
6.73611,0.459778,0.000507,1.000283
6.75000,0.452159,0.000252,1.001725
6.76389,0.446386,0.000876,0.998703
6.77778,0.435879,-0.001668,1.000193
6.79167,0.429426,0.000648,0.999995
6.80556,0.416258,0.000663,0.999643
6.81944,0.404928,-0.002583,0.999493
6.83333,0.395872,0.002469,1.000054
6.84722,0.384716,-0.000727,1.002382
6.86111,0.373563,0.001154,1.000658
6.87500,0.365571,0.000798,0.999404
6.88889,0.352280,0.000105,1.001461
6.90278,0.339266,0.002963,0.999858
6.91667,0.327662,-0.000969,1.000201
6.93056,0.314504,0.000269,1.001361
6.94444,0.300962,-0.001247,1.001673
6.95833,0.288512,-0.000980,1.001742
6.97222,0.277181,-0.003927,0.999457
6.98611,0.264210,0.001269,0.999258
7.00000,0.252359,-0.001157,0.999682
7.01389,0.237204,0.000021,1.001234
7.02778,0.225555,-0.000035,1.002119
7.04167,0.210090,-0.000284,1.002602
7.05556,0.198434,0.001631,0.999396
7.06944,0.185194,-0.000117,1.000298
7.08333,0.172543,0.000069,1.001044
7.09722,0.162493,0.000209,1.001015
7.11111,0.149921,-0.001558,0.997701
7.12500,0.139088,0.002018,1.000136
7.13889,0.125599,-0.001356,0.997986
7.15278,0.114257,-0.002168,1.001413
7.16667,0.101827,0.000483,1.002936
7.18056,0.095091,-0.000358,1.001641
7.19444,0.080575,-0.000828,1.000599
7.20833,0.074464,-0.000812,1.000853
7.22222,0.063296,-0.001843,0.999843
7.23611,0.056636,-0.000096,1.000792
7.25000,0.047422,-0.001059,1.001880
7.26389,0.040782,0.002427,1.002002
7.27778,0.030790,-0.000837,0.998864
7.29167,0.023705,-0.001152,1.001518
7.30556,0.021482,-0.000923,1.001246
7.31944,0.012329,-0.000456,0.998542
7.33333,0.007433,0.000110,1.000145
7.34722,0.005659,-0.000757,0.998550
7.36111,0.003255,-0.000876,1.000381
7.37500,-0.000350,0.000360,1.000784
7.38889,0.002165,0.001590,1.000302
7.40278,-0.001006,-0.002725,1.000004
7.41667,0.002131,0.002498,0.996206
7.43056,-0.001121,-0.000513,0.998452
7.44444,0.000291,0.000069,0.999236
7.45833,-0.000043,-0.002375,0.998554
7.47222,-0.001332,0.001354,0.997571
7.48611,-0.000310,0.001175,0.999928
7.50000,0.001225,-0.000969,1.000662
7.51389,0.001365,0.003356,1.001101
7.52778,0.002151,0.000029,1.000161
7.54167,0.002366,0.000889,1.002143
7.55556,0.001081,0.003199,1.003592
7.56944,-0.001233,0.002810,1.000675
7.58333,0.000741,-0.000146,1.001106
7.59722,-0.001638,-0.001059,0.998886
7.61111,0.000468,0.001417,1.001141
7.62500,0.000590,-0.000850,0.997400
7.63889,0.000646,0.000260,1.000578
7.65278,0.002184,-0.000230,0.999741
7.66667,-0.003430,0.000883,0.999971
7.68056,-0.001064,0.000623,0.998478
7.69444,-0.000769,0.002988,1.001172
7.70833,0.001432,0.001166,1.001006
7.72222,0.000332,0.003469,0.999930
7.73611,0.001143,-0.000289,0.999511
7.75000,-0.003620,-0.002849,1.002358
7.76389,0.002268,-0.000622,0.999984
7.77778,0.000951,-0.001461,1.002684
7.79167,-0.001532,-0.001053,0.995882
7.80556,0.002298,0.000112,1.002459
7.81944,-0.001479,0.000531,1.000135
7.83333,0.000321,0.003135,1.003421
7.84722,0.002090,-0.000581,1.001360
7.86111,0.002038,0.000857,1.000873
7.87500,0.000742,-0.001333,1.000386
7.88889,0.002423,-0.001476,1.000140
7.90278,0.001269,-0.002031,0.999809
7.91667,-0.002530,-0.000895,0.997903
7.93056,-0.001332,-0.000723,0.999595
7.94444,-0.000298,-0.003602,1.002390
7.95833,-0.000407,-0.001640,0.999060
7.97222,0.000467,-0.001502,0.999380
7.98611,-0.000705,0.000810,0.998877
8.00000,0.000680,0.000524,0.999777
8.01389,0.001862,0.000031,0.998234
8.02778,0.000447,0.000185,0.999939
8.04167,0.000348,0.003524,1.000350
8.05556,0.000687,-0.000370,1.001966
8.06944,-0.000085,-0.001203,0.998166
8.08333,0.000791,0.001116,0.997617
8.09722,-0.001086,0.000962,1.001541
8.11111,-0.001982,-0.000613,1.001248
8.12500,-0.000802,-0.000678,0.999187
8.13889,-0.001962,0.000068,1.000454
8.15278,-0.002105,0.000148,1.001659
8.16667,0.000309,0.001418,0.999173
8.18056,0.002051,-0.001182,1.002825
8.19444,-0.000677,-0.001081,0.998658
8.20833,-0.000623,-0.000743,0.998962
8.22222,-0.000498,0.000993,1.001320
8.23611,-0.000510,0.001848,0.998499
8.25000,-0.001547,-0.001701,1.000898
8.26389,-0.002331,-0.002100,1.001913
8.27778,0.002563,0.002009,0.997755
8.29167,0.000010,0.001239,1.000136
8.30556,-0.002436,-0.000523,0.997442
8.31944,-0.001859,0.003218,1.001008
8.33333,-0.002213,-0.002263,1.000672
8.34722,-0.000927,0.000853,0.999015
8.36111,-0.000314,0.000344,0.998436
8.37500,-0.002895,-0.001807,0.998937
8.38889,-0.000323,-0.000106,0.999881
8.40278,0.000753,-0.001358,1.002073
8.41667,0.002983,0.000528,1.000261
8.43056,0.001850,0.000951,1.000259
8.44444,-0.000274,-0.001131,0.998223
8.45833,0.000975,0.001758,0.998391
8.47222,-0.000132,0.000303,0.999338
8.48611,-0.001166,-0.000613,0.997020
8.50000,-0.000116,-0.000466,1.003150
8.51389,0.001380,-0.000544,0.999963
8.52778,0.002548,0.002383,1.000251
8.54167,-0.000219,-0.002193,0.999483
8.55556,-0.000279,-0.001130,1.002569
8.56944,-0.002840,-0.000230,1.000584
8.58333,0.000629,0.002504,0.997876
8.59722,-0.001148,0.000119,1.000172
8.61111,-0.000605,-0.001173,1.001583
8.62500,-0.001602,-0.000889,1.002129
8.63889,0.002574,0.001281,0.998683
8.65278,-0.001306,-0.001376,0.998271
8.66667,-0.000651,0.001879,1.000306
8.68056,-0.001162,-0.001196,0.998207
8.69444,0.001780,-0.003061,1.000378
8.70833,-0.002193,-0.001624,0.997731
8.72222,0.001407,-0.000162,1.004074
8.73611,-0.001597,-0.001685,1.000842
8.75000,0.000798,-0.000469,0.996921
8.76389,0.002117,0.000802,1.000545
8.77778,-0.000945,0.000905,0.999101
8.79167,0.000004,-0.000345,1.001823
8.80556,-0.000771,-0.000586,1.001589
8.81944,0.000270,-0.000101,0.999565
8.83333,0.001352,-0.001052,1.000630
8.84722,0.002968,0.000520,0.998741
8.86111,-0.001886,0.000137,0.998074
8.87500,-0.002478,-0.001227,0.998268
8.88889,0.001223,-0.002269,1.002281
8.90278,-0.001223,0.000082,1.000911
8.91667,0.000237,0.000983,0.998418
8.93056,-0.003512,-0.000406,0.997371
8.94444,-0.000979,0.001308,0.999593
8.95833,-0.001002,-0.001809,0.999447
8.97222,-0.000376,-0.002492,1.000324
8.98611,-0.001733,0.000208,0.999201
9.00000,0.001364,0.001164,0.999892
9.01389,-0.000284,0.000538,1.001959
9.02778,0.001486,0.000133,1.000374
9.04167,0.002273,-0.002543,1.000727
9.05556,-0.001435,0.001956,0.999185
9.06944,-0.000237,-0.001696,0.999964
9.08333,0.001135,0.002459,0.998057
9.09722,-0.000705,0.005830,1.001383
9.11111,-0.000038,0.000761,0.995977
9.12500,0.002405,0.000221,0.997832
9.13889,0.001743,-0.000956,0.998449
9.15278,0.000779,0.000598,0.999307
9.16667,-0.000114,-0.002020,0.997827
9.18056,0.001349,0.001976,1.000647
9.19444,0.000560,-0.000594,0.999805
9.20833,-0.001406,0.002637,0.999148
9.22222,0.000616,0.000000,0.997900
9.23611,0.002909,-0.000564,0.998847
9.25000,0.000172,-0.001347,1.000044
9.26389,-0.001440,0.000848,1.000083
9.27778,-0.002052,0.001557,1.000291
9.29167,-0.001654,0.000542,1.000650
9.30556,0.002799,-0.001290,1.001292
9.31944,-0.000133,0.000935,0.999617
